CD_Models_name,CD_Models_value,CD_Scenarios_name,CD_Scenarios_value,CD_Year_name,CD_Year_value,SDM_models_name,SDM_models_value,SDM_models_out_name,SDM_models_out_value,DM_Models_name,DM_Models_value,LD_Variables_name,LD_Variables_value,DM_Variables_name,DM_Variables_value,DM_Variables_Landuse_name,DM_Variables_Landuse_value,DM_Variables_LanduseType_name,DM_Variables_LanduseType_value,CD_Variables_name,CD_Variables_value,SDM_Variables_name,SDM_Variables_value,SDM_Variables_selected_value,SS_Group1_name,SS_Group1_value,SS_Group2_name,SS_Group2_value,SS_Group3_name,SS_Group3_value,IS_Group_name,IS_Group_value,VH_Group_name,VH_Group_value
KMA (기상청),KMA,RCP 4.5,RCP4.5,2000년,2000,GLM (Generalized Linear Model),GLM,GLM (Generalized Linear Model),GLM,Species Distribution Model (BIOMOD2),BIOMOD2,Landuse_ssp1,Landuse_ssp1,토지이용,Landuse,Landuse_ssp1,Landuse_ssp1,도시,Urban,BIOCLIM 01 (Annual Mean Temperature),bio01,BIOCLIM 01 (Annual Mean Temperature),bio01.tif,bio01.tif,생물종별,Species,생물종별,Species,생물종별,Species,시도,SD,시도,SD
KEI (한국환경정책평가연구원),KEI,RCP 8.5,RCP8.5,2010년,2010,GAM (Generalized Additive Model),GAM,GAM (Generalized Additive Model),GAM,Dispersal Model (MIGCLIM),MIGCLIM,Landuse_ssp2,Landuse_ssp2,산불,Forestfire,Landuse_ssp2,Landuse_ssp2,농경지,Cropland,BIOCLIM 02 (Mean Diurnal Range (Mean of monthly (max temp - min temp))),bio02,BIOCLIM 02 (Mean Diurnal Range (Mean of monthly (max temp - min temp))),bio02.tif,bio02.tif,기후모델별,Climate_Model,기후모델별,Climate_Model,기후모델별,Climate_Model,시군구,SGG,시군구,SGG
,,,,2020년,2020,GBM (Generalized Boosting Model),GBM,GBM (Generalized Boosting Model),GBM,,,Landuse_ssp3,Landuse_ssp3,산사태,Landslide,Landuse_ssp3,Landuse_ssp3,산림,Forest,BIOCLIM 03 (Isothermality (BIO2/BIO7) (* 100)),bio03,BIOCLIM 03 (Isothermality (BIO2/BIO7) (* 100)),bio03.tif,bio03.tif,기후시나리오별,Climate_Scenario,기후시나리오별,Climate_Scenario,기후시나리오별,Climate_Scenario,,,국립공원,NP
,,,,2030년,2030,CTA (Classification Tree Analysis),CTA,CTA (Classification Tree Analysis),CTA,,,Forest fire,Forestfire,,,,,초지,Grassland,BIOCLIM 04 (Temperature Seasonality (standard deviation *100)),bio04,BIOCLIM 04 (Temperature Seasonality (standard deviation *100)),bio04.tif,bio12.tif,모델유형별,Model,모델유형별,Model,모델유형별,Model,,,백두대간,BR
,,,,2040년,2040,ANN (Artificial Neural Network),ANN,ANN (Artificial Neural Network),ANN,,,Landslide,Landslide,,,,,바다,Water,BIOCLIM 05 (Max Temperature of Warmest Month),bio05,BIOCLIM 05 (Max Temperature of Warmest Month),bio05.tif,bio13.tif,예측년도별,Year,,,,,,,DMZ,DMZ
,,,,2050년,2050,SRE (Surface Range Envelop),SRE,SRE (Surface Range Envelop),SRE,,,,,,,,,습지,Wetland,BIOCLIM 06 (Min Temperature of Coldest Month),bio06,BIOCLIM 06 (Min Temperature of Coldest Month),bio06.tif,bio14.tif,,,,,,,,,,
,,,,2060년,2060,FDA (Flexible Discriminant Analysis),FDA,FDA (Flexible Discriminant Analysis),FDA,,,,,,,,,하천,River,BIOCLIM 07 (Temperature Annual Range (BIO5-BIO6)),bio07,BIOCLIM 07 (Temperature Annual Range (BIO5-BIO6)),bio07.tif,,,,,,,,,,,
,,,,2070년,2070,MARS (Multiple Adaptive Regression Splines),MARS,MARS (Multiple Adaptive Regression Splines),MARS,,,,,,,,,,,BIOCLIM 08 (Mean Temperature of Wettest Quarter),bio08,BIOCLIM 08 (Mean Temperature of Wettest Quarter),bio08.tif,,,,,,,,,,,
,,,,2080년,2080,RF (Random Forest),RF,RF (Random Forest),RF,,,,,,,,,,,BIOCLIM 09 (Mean Temperature of Driest Quarter),bio09,BIOCLIM 09 (Mean Temperature of Driest Quarter),bio09.tif,,,,,,,,,,,
,,,,,,MAXENT.Phillips,MAXENT.Phillips,MAXENT.Phillips,MAXENT.Phillips,,,,,,,,,,,BIOCLIM 10 (Mean Temperature of Warmest Quarter),bio10,BIOCLIM 10 (Mean Temperature of Warmest Quarter),bio10.tif,,,,,,,,,,,
,,,,,,,,Ensemble,EM,,,,,,,,,,,BIOCLIM 11 (Mean Temperature of Coldest Quarter),bio11,BIOCLIM 11 (Mean Temperature of Coldest Quarter),bio11.tif,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,BIOCLIM 12 (Annual Precipitation),bio12,BIOCLIM 12 (Annual Precipitation),bio12.tif,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,BIOCLIM 13 (Precipitation of Wettest Month),bio13,BIOCLIM 13 (Precipitation of Wettest Month),bio13.tif,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,BIOCLIM 14 (Precipitation of Driest Month),bio14,BIOCLIM 14 (Precipitation of Driest Month),bio14.tif,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,BIOCLIM 15 (Precipitation Seasonality (Coefficient of Variation)),bio15,BIOCLIM 15 (Precipitation Seasonality (Coefficient of Variation)),bio15.tif,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,BIOCLIM 16 (Precipitation of Wettest Quarter),bio16,BIOCLIM 16 (Precipitation of Wettest Quarter),bio16.tif,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,BIOCLIM 17 (Precipitation of Driest Quarter),bio17,BIOCLIM 17 (Precipitation of Driest Quarter),bio17.tif,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,BIOCLIM 18 (Precipitation of Warmest Quarter),bio18,BIOCLIM 18 (Precipitation of Warmest Quarter),bio18.tif,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,BIOCLIM 19 (Precipitation of Coldest Quarter),bio19,BIOCLIM 19 (Precipitation of Coldest Quarter),bio19.tif,,,,,,,,,,,
